Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
8,Iced Mocha with Nonfat Milk (Small),12,240,45,5,8,3,16,0,20,7,125,5,41,14,1,4,35,8,10,0,25,4
8,Iced Mocha with Nonfat Milk (Medium),16,290,45,5,8,3.5,17,0,20,7,150,6,50,17,1,5,43,10,15,0,30,6
8,Iced Mocha with Nonfat Milk (Large),22,390,50,6,9,3.5,18,0,25,8,220,9,71,24,2,8,62,14,20,0,45,8
8,Iced Caramel Mocha (Small),12,280,100,11,17,7,33,0,35,12,140,6,38,13,0,0,33,8,10,0,25,2
8,Iced Caramel Mocha (Medium),16,340,110,13,19,7,37,0,40,13,170,7,46,15,1,2,41,9,10,0,30,2
8,Iced Caramel Mocha (Large),22,460,150,16,25,10,48,0.5,50,17,250,10,65,22,1,3,59,13,15,0,40,4
8,Iced Nonfat Caramel Mocha (Small),12,230,45,5,8,3,16,0,20,7,140,6,38,13,0,0,33,8,10,0,25,2
8,Iced Nonfat Caramel Mocha (Medium),16,270,45,5,8,3,16,0,20,7,170,7,47,16,1,2,41,10,15,0,30,2
8,Iced Nonfat Caramel Mocha (Large),22,370,50,6,8,3.5,17,0,25,8,250,10,65,22,1,3,59,14,20,0,45,4
8,Frappé Mocha (Small),12,450,160,18,28,12,59,1,65,21,125,5,65,22,1,3,57,7,15,0,20,4
8,Frappé Mocha (Medium),16,550,200,22,34,14,71,1,75,25,160,7,80,27,1,4,71,9,15,0,25,4
8,Frappé Mocha (Large),22,670,240,26,41,17,85,1,90,30,190,8,98,33,1,4,88,11,20,0,35,4
8,Frappé Caramel (Small),12,450,170,19,29,12,60,1,65,22,125,5,64,21,0,0,57,7,15,0,25,2
8,Frappé Caramel (Medium),16,550,200,23,35,15,73,1,80,27,160,7,79,26,0,0,71,9,20,0,30,2
8,Frappé Caramel (Large),22,670,250,27,42,17,87,1.5,95,32,190,8,96,32,0,0,88,11,20,0,35,2
8,Frappé Chocolate Chip (Small),12,530,200,23,35,14,72,1,65,22,135,6,76,25,1,5,67,8,15,0,25,4
8,Frappé Chocolate Chip (Medium),16,630,240,26,41,17,85,1,80,26,160,7,91,30,1,5,81,9,15,0,30,4
8,Frappé Chocolate Chip (Large),22,760,280,31,48,20,101,1.5,95,32,200,8,111,37,1,5,99,12,20,0,35,6
9,Blueberry Pomegranate Smoothie (Small),12,220,5,0.5,1,0,0,0,5,1,40,2,50,17,3,12,44,2,0,2,6,2
9,Blueberry Pomegranate Smoothie (Medium),16,260,5,1,1,0,0,0,5,1,50,2,62,21,4,15,54,3,0,4,8,2
9,Blueberry Pomegranate Smoothie (Large),22,340,10,1,2,0.5,3,0,5,2,65,3,79,26,5,19,70,4,0,4,10,2
9,Strawberry Banana Smoothie (Small),12,210,5,0.5,1,0,0,0,5,1,50,2,47,16,3,10,44,3,0,30,8,2
9,Strawberry Banana Smoothie (Medium),16,250,5,1,1,0,0,0,5,1,60,2,58,19,3,13,54,4,0,35,8,4
9,Strawberry Banana Smoothie (Large),22,330,10,1,2,0.5,3,0,5,2,80,3,74,25,4,16,70,5,0,45,10,4
9,Mango Pineapple Smoothie (Small),12,210,5,0.5,1,0,0,0,5,1,40,2,50,17,1,4,46,2,30,20,8,2
9,Mango Pineapple Smoothie (Medium),16,260,10,1,1,0,0,0,5,1,45,2,61,20,1,5,56,3,40,25,8,2
9,Mango Pineapple Smoothie (Large),22,340,10,1,2,0.5,3,0,5,2,60,3,78,26,2,6,72,4,50,30,10,2
9,Vanilla Shake (Small),12,530,140,15,24,10,49,1,60,20,160,7,86,29,0,0,63,11,20,0,40,0
9,Vanilla Shake (Medium),16,660,170,19,29,12,61,1,75,24,200,9,109,36,0,0,81,14,25,0,50,0
9,Vanilla Shake (Large),22,820,210,23,35,15,73,1,90,29,260,11,135,45,0,0,101,18,30,0,60,0
9,Strawberry Shake (Small),12,550,150,16,25,10,52,1,60,21,160,7,90,30,0,0,79,12,20,0,40,0
9,Strawberry Shake (Medium),16,690,180,20,30,13,63,1,75,25,210,9,114,38,0,0,100,15,25,0,50,0
9,Strawberry Shake (Large),22,850,210,24,36,15,75,1,90,30,260,11,140,47,0,0,123,18,30,0,70,0
9,Chocolate Shake (Small),12,560,150,16,25,10,51,1,60,20,240,10,91,30,1,5,77,12,20,0,40,8
9,Chocolate Shake (Medium),16,700,180,20,30,12,62,1,75,24,300,13,114,38,2,6,97,15,25,0,50,10
9,Chocolate Shake (Large),22,850,210,23,36,15,74,1,85,29,380,16,141,47,2,8,120,19,30,0,60,15
9,Shamrock Shake (Medium),16,660,170,19,29,12,61,1,75,24,210,9,109,36,0,0,93,14,25,0,50,0
9,Shamrock Shake (Large),22,820,210,23,35,15,73,1,90,29,260,11,135,45,0,0,115,18,30,0,60,0
9,McFlurry with M&M’s Candies (Small),310,650,210,23,35,14,72,0.5,50,17,180,7,96,32,1,6,89,13,15,0,45,8
9,McFlurry with M&M’s Candies (Medium),460,930,290,33,50,20,102,1,75,25,260,11,139,46,2,7,128,20,25,0,70,10
9,McFlurry with M&M’s Candies (Snack),207,430,140,15,24,10,48,0,35,11,120,5,64,21,1,4,59,9,10,0,30,4
9,McFlurry with Oreo Cookies (Small),285,510,150,17,26,9,44,0.5,45,14,280,12,80,27,1,4,64,12,15,0,40,8
9,McFlurry with Oreo Cookies (Medium),381,690,200,23,35,12,58,1,55,19,380,16,106,35,1,5,85,15,20,0,50,10
9,McFlurry with Oreo Cookies (Snack),190,340,100,11,17,6,29,0,30,9,190,8,53,18,1,2,43,8,10,0,25,6
9,McFlurry with Reese's Peanut Butter Cups (Medium),403,810,290,32,50,15,76,1,60,20,400,17,114,38,2,9,103,21,20,0,60,6
9,McFlurry with Reese's Peanut Butter Cups (Snack),202,410,150,16,25,8,38,0,30,10,200,8,57,19,1,5,51,10,10,0,30,4
